FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,"Hillsborough, FL",US,2020-03-03T18:33:02,27.9904,-82.3018,2,0,0,,
,,"Honolulu County, HI",US,2020-03-09T03:43:03,21.307,-157.8584,2,0,0,,
,,"Jackson County, OR ",US,2020-03-08T00:13:16,42.3345,-122.7647,2,0,0,,
,,"Lee County, FL",US,2020-03-08T15:33:04,26.663,-81.9535,2,1,0,,
,,"Manatee County, FL",US,2020-03-09T08:53:03,27.4799,-82.3452,2,0,0,,
,,"Pinal County, AZ",US,2020-03-07T17:13:23,32.8162,-111.2845,2,0,0,,
,,"Sacramento County, CA",US,2020-02-27T20:33:02,38.4747,-121.3542,2,0,0,,
,,"San Benito, CA",US,2020-02-03T03:53:02,36.5761,-120.9876,2,0,0,,
,,"San Mateo, CA",US,2020-03-03T00:43:02,37.563,-122.3255,2,0,0,,
,,"Saratoga County, NY",US,2020-03-07T18:23:05,43.0324,-73.936,2,0,0,,
,,"Summit County, CO",US,2020-03-06T01:29:39,39.5912,-106.064,2,0,0,,
,,"Washington, D.C.",US,2020-03-08T13:53:03,38.9072,-77.0369,2,0,0,,
,,"Washoe County, NV",US,2020-03-08T21:43:03,40.5608,-119.6035,2,0,0,,
,,,Andorra,2020-03-02T20:23:16,42.5063,1.5218,1,0,0,,
,,,Armenia,2020-03-01T19:53:02,40.0691,45.0382,1,0,0,,
,,,Bhutan,2020-03-06T15:43:02,27.5142,90.4336,1,0,0,,
,,,Brunei,2020-03-09T18:33:03,4.5353,114.7277,1,0,0,,
,,,Colombia,2020-03-07T00:43:02,4.5709,-74.2973,1,0,0,,
,,,Gibraltar,2020-03-04T13:03:13,36.1408,-5.3536,1,0,0,,
,,,Jordan,2020-03-03T15:33:02,31.24,36.51,1,0,0,,
,,,Liechtenstein,2020-03-04T01:33:07,47.14,9.55,1,0,0,,
,,,Lithuania,2020-02-28T16:23:03,55.1694,23.8813,1,0,0,,
,,Tibet,Mainland China,2020-02-12T06:43:02,31.6927,88.0924,1,0,1,,
,,,Moldova,2020-03-09T14:43:03,47.4116,28.3699,1,0,0,,
,,,Monaco,2020-02-29T00:33:01,43.7333,7.4167,1,0,0,,
,,,Nepal,2020-02-12T14:43:03,28.1667,84.25,1,0,1,,
,,,Paraguay,2020-03-08T09:13:16,-23.4425,-58.4438,1,0,0,,
,,,Saint Barthelemy,2020-03-09T10:43:06,17.9,-62.8333,1,0,0,,
,,,Serbia,2020-03-06T15:43:02,44.0165,21.0059,1,0,0,,
,,,Sri Lanka,2020-02-08T03:43:03,7,81,1,0,1,,
,,,Togo,2020-03-07T02:13:09,8.6195,0.8248,1,0,0,,
